Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.04,-.39,-.13,-.01,-.80,-.52,-.29,-.16,-.10,-.04,.05,.69
1881,-.09,-.19,.01,-.36,.10,-.07,-.84,-.48,-.21,.09,.11,-.05,-.07,.61
1882,-.11,-.22,-.01,-.32,-.05,.01,-1.34,-.29,-.16,-.06,-.04,.02,.04,.64
1883,-.17,-.28,-.06,-.34,-.16,-.01,-.12,-.56,-.26,-.18,-.15,-.03,.07,.51
1884,-.28,-.43,-.14,-.60,-.15,-.13,-1.25,-.65,-.46,-.13,-.16,-.18,-.02,.66
1885,-.33,-.44,-.24,-.66,-.13,-.27,-1.46,-.70,-.46,-.08,-.19,-.33,-.15,.84
1886,-.31,-.44,-.19,-.57,-.20,-.21,-1.54,-.52,-.41,-.22,-.17,-.19,-.20,.60
1887,-.36,-.44,-.28,-.53,-.30,-.28,-1.72,-.51,-.30,-.31,-.30,-.27,-.26,.33
1888,-.18,-.24,-.11,-.42,.09,-.28,-1.26,-.45,-.25,.05,.13,-.31,-.22,.17
1889,-.11,-.18,-.04,-.30,.07,-.16,-.64,-.24,-.28,.01,.14,-.15,-.15,.46
1890,-.35,-.39,-.32,-.46,-.37,-.22,-1.10,-.57,-.28,-.28,-.47,-.17,-.27,.16
1891,-.22,-.26,-.19,-.42,-.08,-.21,-1.06,-.34,-.36,.00,-.16,-.17,-.24,-.14
1892,-.27,-.40,-.15,-.43,-.31,-.08,-1.08,-.66,-.18,-.35,-.26,.03,-.21,.10
1893,-.31,-.48,-.15,-.50,-.37,-.04,-.62,-.55,-.47,-.44,-.31,.07,-.20,-.03
1894,-.31,-.40,-.22,-.33,-.35,-.23,-.93,-.34,-.19,-.50,-.19,-.14,-.35,-.36
1895,-.23,-.31,-.15,-.41,-.08,-.25,-.66,-.53,-.27,-.16,.00,-.19,-.32,-.57
1896,-.12,-.20,-.03,-.35,.09,-.15,-.86,-.38,-.23,.04,.13,-.15,-.13,.27
1897,-.11,-.17,-.05,-.36,.16,-.23,-.54,-.48,-.25,.12,.20,-.19,-.27,.42
