date,WS2M,T2M,T2M_MAX,PRECTOTCORR,latitude,longitude
2020-09-01,2.52,30.16,38.66,0.0,30.0444,31.2357
2020-09-02,2.11,30.41,38.84,0.0,30.0444,31.2357
2020-09-03,2.55,30.31,39.57,0.0,30.0444,31.2357
2020-09-04,3.21,31.81,42.18,0.0,30.0444,31.2357
2020-09-05,3.72,31.34,41.67,0.0,30.0444,31.2357
2020-09-06,3.49,30.45,39.62,0.0,30.0444,31.2357
2020-09-07,3.23,30.3,39.08,0.0,30.0444,31.2357
2020-09-08,3.69,30.25,39.33,0.0,30.0444,31.2357
2020-09-09,3.34,29.76,38.81,0.0,30.0444,31.2357
2020-09-10,2.44,29.08,36.9,0.0,30.0444,31.2357
2020-09-11,2.22,29.35,37.49,0.0,30.0444,31.2357
2020-09-12,1.96,29.83,37.84,0.0,30.0444,31.2357
2020-09-13,2.93,29.35,37.83,0.0,30.0444,31.2357
2020-09-14,2.81,28.83,36.77,0.0,30.0444,31.2357
2020-09-15,2.98,28.9,37.25,0.0,30.0444,31.2357
2020-09-16,2.87,28.78,37.82,0.0,30.0444,31.2357
2020-09-17,3.43,29.88,39.17,0.0,30.0444,31.2357
2020-09-18,4.55,30.18,39.66,0.0,30.0444,31.2357
2020-09-19,4.58,29.64,38.54,0.0,30.0444,31.2357
2020-09-20,3.87,28.81,37.06,0.0,30.0444,31.2357
2020-09-21,2.38,29.31,37.24,0.0,30.0444,31.2357
2020-09-22,3.99,29.09,36.65,0.0,30.0444,31.2357
2020-09-23,3.56,27.77,34.93,0.0,30.0444,31.2357
2020-09-24,3.21,26.84,34.92,0.0,30.0444,31.2357
2020-09-25,2.82,27.71,36.23,0.0,30.0444,31.2357
2020-09-26,2.02,27.66,34.91,0.0,30.0444,31.2357
2020-09-27,4.59,28.1,37.39,0.0,30.0444,31.2357
2020-09-28,4.63,29.53,39.75,0.0,30.0444,31.2357
2020-09-29,3.6,30.03,40.09,0.0,30.0444,31.2357
2020-09-30,2.84,29.48,38.92,0.0,30.0444,31.2357
2020-10-01,2.87,27.88,35.56,0.0,30.0444,31.2357
2020-10-02,2.46,26.83,34.02,0.0,30.0444,31.2357
2020-10-03,3.39,26.12,33.77,0.0,30.0444,31.2357
2020-10-04,3.04,25.92,34.17,0.0,30.0444,31.2357
2020-10-05,3.06,25.78,34.57,0.0,30.0444,31.2357
2020-10-06,3.29,26.2,35.79,0.0,30.0444,31.2357
2020-10-07,3.32,27.85,37.72,0.0,30.0444,31.2357
2020-10-08,2.16,29.73,40.02,0.0,30.0444,31.2357
2020-10-09,3.06,28.41,37.39,0.0,30.0444,31.2357
2020-10-10,3.27,26.72,34.08,0.0,30.0444,31.2357
2020-10-11,2.91,25.86,32.97,0.0,30.0444,31.2357
2020-10-12,2.62,25.29,32.3,0.0,30.0444,31.2357
2020-10-13,3.03,25.26,32.92,0.0,30.0444,31.2357
2020-10-14,4.0,25.45,34.03,0.0,30.0444,31.2357
2020-10-15,3.5,26.03,34.04,0.0,30.0444,31.2357
2020-10-16,3.11,24.64,32.23,0.0,30.0444,31.2357
2020-10-17,3.44,23.41,31.86,0.0,30.0444,31.2357
2020-10-18,3.07,23.64,33.15,0.03,30.0444,31.2357
2020-10-19,4.35,25.45,35.48,0.09,30.0444,31.2357
2020-10-20,3.58,25.84,34.13,0.06,30.0444,31.2357
2020-10-21,3.77,25.23,33.0,0.15,30.0444,31.2357
2020-10-22,2.76,25.23,32.9,0.02,30.0444,31.2357
2020-10-23,1.92,25.11,32.87,0.0,30.0444,31.2357
2020-10-24,2.41,23.79,30.12,0.08,30.0444,31.2357
2020-10-25,1.68,22.84,29.42,0.0,30.0444,31.2357
2020-10-26,1.59,23.86,30.78,0.03,30.0444,31.2357
